budget,P,B,lang,resource_tier,status,n_verify_lang,naive_fpr_lang_pct,naive_fpr_lang_pct_low,naive_fpr_lang_pct_high,naive_fpr_lang_pct_actual,naive_fpr_lang_overall_pct,naive_fpr_lang_overall_pct_low,naive_fpr_lang_overall_pct_high,naive_fpr_lang_overall_pct_actual,fpr_at_global_tau_pct,fpr_at_global_tau_pct_low,fpr_at_global_tau_pct_high,fpr_at_global_tau_pct_actual,tau_lang,tau_lang_low,tau_lang_high,tau_lang_actual
proportional,66,20,ja,medium,measured,250,26.8,26.8,26.8,26.8,27.2,27.2,27.2,27.2,1.2,1.2,1.2,1.2,3.7,3.7,3.7,3.7
proportional,66,20,bn,low,measured,250,25.2,25.2,25.2,25.2,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,3.881,3.881,3.881,3.881
proportional,66,20,fa,low,measured,250,24.8,24.8,24.8,24.8,27.0,27.0,27.0,27.0,1.2,1.2,1.2,1.2,3.862,3.862,3.862,3.862
proportional,66,20,vi,low,measured,250,24.4,24.4,24.4,24.4,24.6,24.6,24.6,24.6,0.4,0.4,0.4,0.4,3.593,3.593,3.593,3.593
proportional,66,20,iw,low,measured,250,30.0,30.0,30.0,30.0,28.2,28.2,28.2,28.2,0.4,0.4,0.4,0.4,3.891,3.891,3.891,3.891
proportional,66,20,uk,low,measured,250,26.0,26.0,26.0,26.0,26.6,26.6,26.6,26.6,0.8,0.8,0.8,0.8,3.739,3.739,3.739,3.739
proportional,66,20,ta,low,measured,250,27.6,27.6,27.6,27.6,28.4,28.4,28.4,28.4,0.4,0.4,0.4,0.4,4.06,4.06,4.06,4.06
proportional,126,38,fr,high,measured(global-tau forecast),250,40.0,40.0,40.0,,38.6,38.6,38.6,,1.2,0.0,3.6,,4.189,4.189,4.189,
proportional,126,38,de,high,measured(global-tau forecast),250,41.6,41.6,41.6,,39.0,39.0,39.0,,1.6,0.0,2.4,,3.61,3.61,3.61,
proportional,126,38,it,high,measured(global-tau forecast),250,47.2,47.2,47.2,,44.8,44.8,44.8,,1.2,0.0,2.4,,3.982,3.982,3.982,
proportional,126,38,es,high,measured(global-tau forecast),250,37.6,37.6,37.6,,38.2,38.2,38.2,,1.2,0.0,2.8,,4.189,4.189,4.189,
proportional,126,38,pt,high,measured(global-tau forecast),250,39.2,39.2,39.2,,40.6,40.6,40.6,,1.6,0.0,3.2,,4.145,4.145,4.145,
proportional,126,38,pl,medium,synthesised,250,48.0,42.0,56.8,,44.0,39.0,52.4,,1.6,0.8,2.8,,3.98,3.645,4.188,
proportional,126,38,nl,medium,synthesised,250,40.0,35.2,52.4,,40.8,35.4,51.4,,0.4,0.0,1.2,,3.832,3.487,4.007,
proportional,126,38,ru,medium,synthesised,250,40.0,33.6,50.0,,43.8,37.6,52.2,,0.4,0.0,1.2,,3.995,3.654,4.204,
proportional,126,38,hi,medium,synthesised,250,42.4,37.6,53.6,,41.2,35.6,50.6,,1.2,0.4,2.0,,4.157,3.748,4.441,
proportional,126,38,ko,medium,synthesised,250,34.8,29.2,46.4,,41.6,35.8,51.4,,1.2,0.4,2.4,,3.979,3.641,4.175,
proportional,126,38,ja,medium,synthesised,250,43.6,37.6,54.8,,41.2,36.2,50.6,,1.2,0.8,2.4,,3.988,3.631,4.204,
proportional,126,38,bn,low,synthesised,250,43.2,36.8,54.8,,41.8,35.8,51.2,,2.0,0.8,3.2,,3.829,3.461,4.03,
proportional,126,38,fa,low,synthesised,250,35.6,29.2,48.8,,37.8,32.8,48.0,,0.8,0.4,2.0,,3.979,3.639,4.176,
proportional,126,38,vi,low,synthesised,250,45.2,37.6,56.4,,43.4,35.8,53.0,,0.4,0.0,1.2,,4.422,3.963,5.138,
proportional,126,38,iw,low,synthesised,250,43.6,37.6,56.4,,42.0,36.6,51.2,,0.0,0.0,1.2,,4.006,3.671,4.25,
proportional,126,38,uk,low,synthesised,250,40.8,35.2,50.8,,42.6,36.8,50.6,,1.6,1.2,2.4,,3.922,3.578,4.116,
proportional,126,38,ta,low,synthesised,250,39.2,32.4,49.6,,39.8,33.8,49.4,,0.4,0.0,1.6,,4.59,4.043,5.762,
