target_language,optimization_type,strategy,best_languages,best_clusters,score,num_languages,language_selection_by_cluster
uk,simple,diversity,"['srp', 'slv', 'ces', 'bul', 'uig', 'lav', 'lit', 'kaz', 'rus', 'kir', 'slk', 'uzb', 'tur', 'aze', 'bel', 'pol', 'hrv', 'hye']","[0, 8]",0.41794005914161664,18,
uk,simple,gp_learning,"['scn', 'myv', 'smj', 'nap', 'por', 'ext', 'vep', 'sma', 'lad', 'fra', 'kpv', 'krl', 'cos', 'liv', 'pms', 'udm', 'cat', 'sms', 'fin', 'spa', 'est', 'vec', 'mdf', 'izh', 'ast', 'hun', 'smn', 'glg', 'mwl', 'ron', 'lij', 'arg', 'sme', 'ita', 'srd', 'lmo']","[4, 14]",5.239113832787022,36,
uk,simple,winner,"['scn', 'myv', 'smj', 'nap', 'por', 'ext', 'vep', 'sma', 'lad', 'fra', 'kpv', 'krl', 'cos', 'liv', 'pms', 'udm', 'cat', 'sms', 'fin', 'spa', 'est', 'vec', 'mdf', 'izh', 'ast', 'hun', 'smn', 'glg', 'mwl', 'ron', 'lij', 'arg', 'sme', 'ita', 'srd', 'lmo']","[4, 14]",5.239113832787022,36,
pl,simple,max_distance,"['liv', 'smj', 'uig', 'est', 'udm', 'kpv', 'krl', 'vep', 'mdf', 'kir', 'sma', 'tur', 'kaz', 'aze', 'izh', 'smn', 'uzb', 'hun', 'sme', 'sms', 'fin', 'myv']","[4, 8]",1.0,22,
pl,simple,min_distance,"['lit', 'slv', 'hrv', 'bel', 'lav', 'hye', 'bul', 'ces', 'rus', 'srp', 'slk', 'ukr']",[0],0.39754999999999996,12,
pl,simple,diversity,"['rus', 'uig', 'srp', 'slk', 'ukr', 'slv', 'hrv', 'bul', 'lav', 'kir', 'tur', 'kaz', 'aze', 'lit', 'uzb', 'bel', 'hye', 'ces']","[0, 8]",0.35953280484617467,18,
pl,simple,gp_learning,"['liv', 'glg', 'smj', 'lij', 'est', 'scn', 'por', 'udm', 'kpv', 'krl', 'vep', 'cat', 'lmo', 'mdf', 'arg', 'fra', 'cos', 'sma', 'vec', 'lad', 'ext', 'spa', 'ron', 'nap', 'izh', 'smn', 'hun', 'sme', 'srd', 'mwl', 'ita', 'pms', 'sms', 'fin', 'myv', 'ast']","[4, 14]",5.239113832787022,36,
pl,simple,winner,"['liv', 'glg', 'smj', 'lij', 'est', 'scn', 'por', 'udm', 'kpv', 'krl', 'vep', 'cat', 'lmo', 'mdf', 'arg', 'fra', 'cos', 'sma', 'vec', 'lad', 'ext', 'spa', 'ron', 'nap', 'izh', 'smn', 'hun', 'sme', 'srd', 'mwl', 'ita', 'pms', 'sms', 'fin', 'myv', 'ast']","[4, 14]",5.239113832787022,36,
ru,simple,max_distance,"['myv', 'aze', 'smj', 'tur', 'sma', 'vep', 'est', 'izh', 'mdf', 'hun', 'krl', 'sme', 'fin', 'smn', 'uig', 'udm', 'liv', 'kir', 'sms', 'uzb', 'kpv', 'kaz']","[4, 8]",1.0,22,
ru,simple,min_distance,"['slv', 'lit', 'bel', 'slk', 'lav', 'pol', 'bul', 'ces', 'ukr', 'hye', 'hrv', 'srp']",[0],0.47382499999999994,12,
ru,simple,diversity,"['tam', 'slv', 'mal', 'lit', 'bel', 'kan', 'slk', 'lav', 'pol', 'bul', 'ces', 'ukr', 'hye', 'hrv', 'srp']","[0, 9]",0.553931771067574,15,
ru,simple,gp_learning,"['myv', 'arg', 'scn', 'smj', 'ron', 'ast', 'lij', 'sma', 'vep', 'est', 'lmo', 'ext', 'izh', 'mdf', 'fra', 'hun', 'krl', 'sme', 'srd', 'fin', 'lad', 'smn', 'mwl', 'cos', 'cat', 'nap', 'ita', 'glg', 'pms', 'spa', 'udm', 'liv', 'sms', 'por', 'kpv', 'vec']","[4, 14]",5.237819711399428,36,
